名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
LANCET ONCOLOGY,LANCET ONCOL,1470-2045,1474-5488,41.6,42.2,Q1,,,,,,,,
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,2095-9907,2059-3635,40.8,40.5,Q1,,,,,,,,
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,0306-0012,1460-4744,40.4,48.1,Q1,,,,,,,,
NATURE REVIEWS GENETICS,NAT REV GENET,1471-0056,1471-0064,39.1,52.3,Q1,,,,,,,,
Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,N/A,38.7,41.3,Q1,,,,,,,,
Joule,JOULE,2542-4351,2542-4351,38.6,44.8,Q1,,,,,,,,
Nature Nanotechnology,NAT NANOTECHNOL,1748-3387,1748-3395,38.1,39.6,Q1,,,,,,,,
Nature Reviews Chemistry,NAT REV CHEM,N/A,2397-3358,38.1,39.6,Q1,,,,,,,,
EUROPEAN HEART JOURNAL,EUR HEART J,0195-668X,1522-9645,37.6,32.6,Q1,,,,,,,,
MMWR Surveillance Summaries,MMWR SURVEILL SUMM,1545-8636,1545-8636,37.3,30.2,Q1,,,,,,,,
NATURE MATERIALS,NAT MATER,1476-1122,1476-4660,37.2,44,Q1,,,,,,,,
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,1473-3099,1474-4457,36.4,32.4,Q1,,,,,,,,
NATURE METHODS,NAT METHODS,1548-7091,1548-7105,36.1,45.6,Q1,,,,,,,,
CIRCULATION,CIRCULATION,0009-7322,1524-4539,35.5,32.7,Q1,,,,,,,,
ADVANCES IN PHYSICS,ADV PHYS,0001-8732,1460-6976,35,41.3,Q1,,,,,,,,
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,N/A,1553-877X,34.4,34,Q1,,,,,,,,
Nature Electronics,NAT ELECTRON,2520-1131,2520-1131,33.7,39.2,Q1,,,,,,,,
PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,0079-6425,1873-2208,33.6,41.2,Q1,,,,,,,,
Innovation,INNOVATION-AMSTERDAM,2666-6758,2666-6758,33.2,31.8,Q1,,,,,,,,
NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,1087-0156,1546-1696,33.1,56.9,Q1,,,,,,,,
Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,1754-5706,32.4,34.5,Q1,,,,,,,,
Nature Photonics,NAT PHOTONICS,1749-4885,1749-4893,32.3,35.8,Q1,,,,,,,,
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,0360-1285,1873-216X,32,36.8,Q1,,,,,,,,
NATURE GENETICS,NAT GENET,1061-4036,1546-1718,31.7,36.6,Q1,,,,,,,,
Nano-Micro Letters,NANO-MICRO LETT,2311-6706,2150-5551,31.6,26,Q1,,,,,,,,
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,0927-796X,1879-212X,31.6,34.3,Q1,,,,,,,,
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,1759-5029,1759-5037,31,46.8,Q1,,,,,,,,
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,N/A,2468-1253,30.9,29.6,Q1,,,,,,,,
Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,N/A,30.8,36.8,Q1,,,,,,,,
Physiological Reviews,PHYSIOL REV,0031-9333,1522-1210,29.9,45,Q1,,,,,,,,
Cancer Discovery,CANCER DISCOV,2159-8274,2159-8290,29.7,32.4,Q1,,,,,,,,
Nature Climate Change,NAT CLIM CHANGE,1758-678X,1758-6798,29.6,31.1,Q1,,,,,,,,
Journal of Hematology & Oncology,J HEMATOL ONCOL,N/A,1756-8722,29.5,26.9,Q1,,,,,,,,
Nature Reviews Rheumatology,NAT REV RHEUMATOL,1759-4790,1759-4804,29.4,30.6,Q1,,,,,,,,
NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,1471-003X,1471-0048,28.7,37.4,Q1,,,,,,,,
Advanced Powder Materials,ADV POWDER MATER,N/A,2772-834X,28.6,28.6,Q1,,,,,,,,
Nature Reviews Nephrology,NAT REV NEPHROL,1759-5061,1759-507X,28.6,40,Q1,,,,,,,,
Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,1553-4006,1553-4014,28.4,35.2,Q1,,,,,,,,
Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,2520-8489,2520-8136,28.4,30.1,Q1,,,,,,,,
Nature Reviews Neurology,NAT REV NEUROL,1759-4758,1759-4766,28.2,43.7,Q1,,,,,,,,
CELL RESEARCH,CELL RES,1001-0602,1748-7838,28.1,36.4,Q1,,,,,,,,
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,0935-4956,1432-0754,27.8,29.1,Q1,,,,,,,,
Cell Metabolism,CELL METAB,1550-4131,1932-7420,27.7,31.2,Q1,,,,,,,,
Molecular Cancer,MOL CANCER,N/A,1476-4598,27.7,31.3,Q1,,,,,,,,
NATURE IMMUNOLOGY,NAT IMMUNOL,1529-2908,1529-2916,27.7,28.3,Q1,,,,,,,,
ADVANCED MATERIALS,ADV MATER,0935-9648,1521-4095,27.4,30.2,Q1,,,,,,,,
eLight,ELIGHT,2097-1710,2662-8643,27.2,27.2,Q1,,,,,,,,
INTENSIVE CARE MEDICINE,INTENS CARE MED,0342-4642,1432-1238,27.1,24,Q1,,,,,,,,
Annual Review of Immunology,ANNU REV IMMUNOL,0732-0582,1545-3278,26.9,32,Q1,,,,,,,,
JOURNAL OF HEPATOLOGY,J HEPATOL,0168-8278,1600-0641,26.8,28,Q1,,,,,,,,
Nature Biomedical Engineering,NAT BIOMED ENG,2157-846X,2157-846X,26.8,29.2,Q1,,,,,,,,
Living Reviews in Relativity,LIVING REV RELATIV,2367-3613,1433-8351,26.3,37.9,Q1,,,,,,,,
Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,0066-4146,1545-4282,26.3,36.7,Q1,,,,,,,,
Science Robotics,SCI ROBOT,2470-9476,2470-9476,26.1,33.7,Q1,,,,,,,,
PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,0079-6700,1873-1619,26,29.5,Q1,,,,,,,,
Gastroenterology,GASTROENTEROLOGY,0016-5085,1528-0012,25.7,25.2,Q1,,,,,,,,
Nature Sustainability,NAT SUSTAIN,2398-9629,2398-9629,25.7,29.9,Q1,,,,,,,,
Immunity,IMMUNITY,1074-7613,1097-4180,25.5,33.2,Q1,,,,,,,,
Lancet Public Health,LANCET PUBLIC HEALTH,2468-2667,2468-2667,25.4,29.9,Q1,,,,,,,,
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,0149-2195,1545-861X,25.4,18.5,Q1,,,,,,,,
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,0066-4189,1545-4479,25.4,26.8,Q1,,,,,,,,
EUROPEAN UROLOGY,EUR UROL,0302-2838,1873-7560,25.3,19.4,Q1,,,,,,,,
REVIEWS OF GEOPHYSICS,REV GEOPHYS,8755-1209,1944-9208,25.2,32.5,Q1,,,,,,,,
Advances in Optics and Photonics,ADV OPT PHOTONICS,1943-8206,N/A,25.2,25.8,Q1,,,,,,,,
JAMA Pediatrics,JAMA PEDIATR,2168-6203,2168-6211,24.7,20.4,Q1,,,,,,,,
FUNGAL DIVERSITY,FUNGAL DIVERS,1560-2745,1878-9129,24.5,24.1,Q1,,,,,,,,
Interdisciplinary Materials,INTERD MATER,2767-4401,2767-441X,24.5,24.7,Q1,,,,,,,,
Advanced Energy Materials,ADV ENERGY MATER,1614-6832,1614-6840,24.4,27.2,Q1,,,,,,,,
Lancet Planetary Health,LANCET PLANET HEALTH,N/A,2542-5196,24.1,25.6,Q1,,,,,,,,
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,0370-1573,1873-6270,23.9,25.7,Q1,,,,,,,,
Lancet Digital Health,LANCET DIGIT HEALTH,N/A,2589-7500,23.8,27.7,Q1,,,,,,,,
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,1557-7341,23.8,21.1,Q1,,,,,,,,
iMeta,IMETA,2770-5986,2770-596X,23.7,23.7,Q1,,,,,,,,
Annual Review of Psychology,ANNU REV PSYCHOL,0066-4308,1545-2085,23.6,27.9,Q1,,,,,,,,
Nature Food,NAT FOOD,N/A,2662-1355,23.6,25,Q1,,,,,,,,
Nature Cancer,NAT CANCER,N/A,2662-1347,23.5,24.6,Q1,,,,,,,,
PROCEEDINGS OF THE IEEE,P IEEE,0018-9219,1558-2256,23.2,18.4,Q1,,,,,,,,
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,2522-0128,2522-0136,23.2,17.7,Q1,,,,,,,,
GUT,GUT,0017-5749,1468-3288,23,24.5,Q1,,,,,,,,
Living Reviews in Solar Physics,LIVING REV SOL PHYS,2367-3648,1614-4961,23,24.6,Q1,,,,,,,,
InfoMat,INFOMAT,N/A,2567-3165,22.7,21.7,Q1,,,,,,,,
JAMA Internal Medicine,JAMA INTERN MED,2168-6106,2168-6114,22.5,22.5,Q1,,,,,,,,
JAMA Oncology,JAMA ONCOL,2374-2437,2374-2445,22.5,25.9,Q1,,,,,,,,
JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,2168-6238,22.5,22.3,Q1,,,,,,,,
EnergyChem,ENERGYCHEM,2589-7780,2589-7780,22.2,25.4,Q1,,,,,,,,
ENDOCRINE REVIEWS,ENDOCR REV,0163-769X,1945-7189,22,26.5,Q1,,,,,,,,
Cellular & Molecular Immunology,CELL MOL IMMUNOL,1672-7681,2042-0226,21.8,19.9,Q1,,,,,,,,
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,0735-1097,1558-3597,21.7,24.2,Q1,,,,,,,,
Nature Human Behaviour,NAT HUM BEHAV,2397-3374,2397-3374,21.4,20.4,Q1,,,,,,,,
Annual Review of Public Health,ANNU REV PUBL HEALTH,0163-7525,1545-2093,21.4,25.7,Q1,,,,,,,,
Annual Review of Plant Biology,ANNU REV PLANT BIOL,1543-5008,1545-2123,21.3,28.2,Q1,,,,,,,,
NATURE NEUROSCIENCE,NAT NEUROSCI,1097-6256,1546-1726,21.2,25.6,Q1,,,,,,,,
Materials Today,MATER TODAY,1369-7021,1873-4103,21.1,25.4,Q1,,,,,,,,
Journal of Thoracic Oncology,J THORAC ONCOL,1556-0864,1556-1380,21,16.5,Q1,,,,,,,,
BLOOD,BLOOD,0006-4971,1528-0020,21,19.2,Q1,,,,,,,,
Lancet Microbe,LANCET MICROBE,N/A,2666-5247,20.9,23.4,Q1,,,,,,,,
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,20.8,22.2,Q1,,,,,,,,
Cell Host & Microbe,CELL HOST MICROBE,1931-3128,1934-6069,20.6,22.1,Q1,,,,,,,,
Light-Science & Applications,LIGHT-SCI APPL,2095-5545,2047-7538,20.6,20.3,Q1,,,,,,,,
Advanced Photonics,ADV PHOTONICS,N/A,2577-5421,20.6,16.5,Q1,,,,,,,,
Nature Microbiology,NAT MICROBIOL,2058-5276,2058-5276,20.5,21,Q1,,,,,,,,
JAMA Neurology,JAMA NEUROL,2168-6149,2168-6157,20.4,20.4,Q1,,,,,,,,
ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,0003-4967,1468-2060,20.3,18.4,Q1,,,,,,,,
COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,0010-8545,1873-3840,20.3,19.9,Q1,,,,,,,,
Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,2097-2415,2369-9698,20.2,N/A,Q1,,,,,,,,
Applied Catalysis B-Environment and Energy,APPL CATAL B-ENVIRON,0926-3373,1873-3883,20.2,18.9,Q1,,,,,,,,
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,0268-4012,1873-4707,20.1,19.2,Q1,,,,,,,,
Cancer Communications,CANCER COMMUN,N/A,2523-3548,20.1,16.7,Q1,,,,,,,,
Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,2352-4642,2352-4642,19.9,19.8,Q1,,,,,,,,
Lancet Global Health,LANCET GLOB HEALTH,2214-109X,2214-109X,19.9,26.4,Q1,,,,,,,,
Cell Stem Cell,CELL STEM CELL,1934-5909,1875-9777,19.8,22.6,Q1,,,,,,,,
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,0003-4819,1539-3704,19.6,28.8,Q1,,,,,,,,
Carbon Energy,CARBON ENERGY,N/A,2637-9368,19.5,19.9,Q1,,,,,,,,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,1073-449X,1535-4970,19.3,20,Q1,,,,,,,,
Kidney International Supplements,KIDNEY INT SUPPL,2157-1724,2157-1716,19.3,14.2,Q1,,,,,,,,
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,1930-3807,19.3,17.1,Q1,,,,,,,,
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,0031-6997,1521-0081,19.3,22.1,Q1,,,,,,,,
ACS Energy Letters,ACS ENERGY LETT,2380-8195,2380-8195,19.3,20.8,Q1,,,,,,,,
Nature Chemistry,NAT CHEM,1755-4330,1755-4349,19.2,22,Q1,,,,,,,,
Chem,CHEM-US,2451-9294,2451-9294,19.1,23.8,Q1,,,,,,,,
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,0893-8512,1098-6618,19,33.8,Q1,,,,,,,,
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,0034-4885,1361-6633,19,18.2,Q1,,,,,,,,
Nature Metabolism,NAT METAB,N/A,2522-5812,18.9,21,Q1,,,,,,,,
Energy Storage Materials,ENERGY STORAGE MATER,2405-8297,2405-8289,18.9,18.4,Q1,,,,,,,,
Nature Machine Intelligence,NAT MACH INTELL,N/A,2522-5839,18.8,26.4,Q1,,,,,,,,
Science Bulletin,SCI BULL,2095-9273,2095-9281,18.8,15.8,Q1,,,,,,,,
SusMat,SUSMAT,2766-8479,2692-4552,18.7,18.7,Q1,,,,,,,,
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,1350-9462,1873-1635,18.6,20.3,Q1,,,,,,,,
Journal of Advanced Ceramics,J ADV CERAM,2226-4108,2227-8508,18.6,15,Q1,,,,,,,,
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,1616-3028,18.5,19.6,Q1,,,,,,,,
Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,1529-1006,1539-6053,18.2,40,Q1,,,,,,,,
Bioactive Materials,BIOACT MATER,N/A,2452-199X,18,18.2,Q1,,,,,,,,
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,1548-5943,1548-5951,17.8,21.9,Q1,,,,,,,,
Nature Physics,NAT PHYS,1745-2473,1745-2481,17.6,19.3,Q1,,,,,,,,
Science Immunology,SCI IMMUNOL,2470-9468,2470-9468,17.6,19.1,Q1,,,,,,,,
PERIODONTOLOGY 2000,PERIODONTOL 2000,0906-6713,1600-0757,17.5,16.8,Q1,,,,,,,,
PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,0033-2909,1939-1455,17.3,24.1,Q1,,,,,,,,
Computational Visual Media,COMPUT VIS MEDIA,2096-0433,2096-0662,17.3,N/A,Q1,,,,,,,,
NATURE CELL BIOLOGY,NAT CELL BIOL,1465-7392,1476-4679,17.3,24.2,Q1,,,,,,,,
Matter,MATTER-US,2590-2393,2590-2385,17.3,18.9,Q1,,,,,,,,
TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,1360-1385,1878-4372,17.3,20.1,Q1,,,,,,,,
Advanced Fiber Materials,ADV FIBER MATER,2524-7921,2524-793X,17.2,15.7,Q1,,,,,,,,
IEEE Reviews in Biomedical Engineering,IEEE REV BIOMED ENG,1937-3333,1941-1189,17.2,N/A,Q1,,,,,,,,
Molecular Plant,MOL PLANT,1674-2052,1752-9867,17.1,21.4,Q1,,,,,,,,
AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,1526-5161,1536-0075,17,12.3,Q1,,,,,,,,
Nature Aging,NATURE AGING,N/A,2662-8465,17,17,Q1,,,,,,,,
EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,1388-9842,1879-0844,16.9,16.2,Q1,,,,,,,,
Nature Reviews Psychology,NAT REV PSYCHOL,N/A,2731-0574,16.8,16.8,Q1,,,,,,,,
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,1759-0876,1759-0884,16.8,20,Q1,,,,,,,,
Nano Energy,NANO ENERGY,2211-2855,2211-3282,16.8,16.3,Q1,,,,,,,,
INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,0950-6608,1743-2804,16.8,18.7,Q1,,,,,,,,
Military Medical Research,MILITARY MED RES,2095-7467,2054-9369,16.7,14.8,Q1,,,,,,,,
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,1364-6613,1879-307X,16.7,21.8,Q1,,,,,,,,
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,16.7,18.2,Q1,,,,,,,,
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,1469-1825,16.6,16.6,Q1,,,,,,,,
EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,0903-1936,1399-3003,16.6,17.6,Q1,,,,,,,,
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,0305-1048,1362-4962,16.6,16.1,Q1,,,,,,,,
CIRCULATION RESEARCH,CIRC RES,0009-7330,1524-4571,16.5,20.3,Q1,,,,,,,,
NEURO-ONCOLOGY,NEURO-ONCOLOGY,1522-8517,1523-5866,16.4,14.9,Q1,,,,,,,,
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,1520-4898,16.4,20.2,Q1,,,,,,,,
ACTA NUMERICA,ACTA NUMER,0962-4929,1474-0508,16.3,18.8,Q1,,,,,,,,
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,0033-3190,1423-0348,16.3,17.5,Q1,,,,,,,,
National Science Review,NATL SCI REV,2095-5138,2053-714X,16.3,18.6,Q1,,,,,,,,
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,1364-0321,1879-0690,16.3,16.8,Q1,,,,,,,,
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,2473-2397,2168-6831,16.2,15.6,Q1,,,,,,,,
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,1433-7851,1521-3773,16.1,16.2,Q1,,,,,,,,
International Journal of Extreme Manufacturing,INT J EXTREME MANUF,2631-8644,2631-7990,16.1,14.4,Q1,,,,,,,,
ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,0001-8686,1873-3727,15.9,16.4,Q1,,,,,,,,
Nature Plants,NAT PLANTS,2055-026X,2055-0278,15.8,17.1,Q1,,,,,,,,
Science Translational Medicine,SCI TRANSL MED,1946-6234,1946-6242,15.8,16.9,Q1,,,,,,,,
Journal of Magnesium and Alloys,J MAGNES ALLOY,2213-9567,2213-9567,15.8,14.8,Q1,,,,,,,,
DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,1368-7646,1532-2084,15.8,18.1,Q1,,,,,,,,
ACS Nano,ACS NANO,1936-0851,1936-086X,15.8,16.2,Q1,,,,,,,,
JAMA Surgery,JAMA SURG,2168-6254,2168-6262,15.7,16.3,Q1,,,,,,,,
Nature Geoscience,NAT GEOSCI,1752-0894,1752-0908,15.7,18.8,Q1,,,,,,,,
PhotoniX,PHOTONIX,N/A,2662-1991,15.7,16.8,Q1,,,,,,,,
Annual Review of Physiology,ANNU REV PHYSIOL,0066-4278,1545-1585,15.7,22.9,Q1,,,,,,,,
Chinese Journal of Catalysis,CHINESE J CATAL,0253-9837,1872-2067,15.7,11.5,Q1,,,,,,,,
Advances in Methods and Practices in Psychological Science,ADV METH PRACT PSYCH,2515-2459,2515-2467,15.6,19.1,Q1,,,,,,,,
Journal of Innovation & Knowledge,J INNOV KNOWL,2530-7614,2444-569X,15.6,14.6,Q1,,,,,,,,
Journal of Extracellular Vesicles,J EXTRACELL VESICLES,N/A,2001-3078,15.5,19.6,Q1,,,,,,,,
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,1543-5938,1545-2050,15.5,18.9,Q1,,,,,,,,
Lancet Haematology,LANCET HAEMATOL,2352-3026,N/A,15.4,16.3,Q1,,,,,,,,
Opto-Electronic Advances,OPTO-ELECTRON ADV,2096-4579,2096-4579,15.3,11.4,Q1,,,,,,,,
IEEE-CAA Journal of Automatica Sinica,IEEE-CAA J AUTOMATIC,2329-9266,2329-9274,15.3,10.3,Q1,,,,,,,,
SmartMat,SMARTMAT,2766-8525,2688-819X,15.3,15.8,Q1,,,,,,,,
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,0169-409X,1872-8294,15.2,17.6,Q1,,,,,,,,
AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,0002-953X,1535-7228,15.1,17.7,Q1,,,,,,,,
TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,0924-2244,1879-3053,15.1,16.4,Q1,,,,,,,,
Annual Review of Medicine,ANNU REV MED,0066-4219,1545-326X,15.1,14.4,Q1,,,,,,,,
One Earth,ONE EARTH,2590-3330,2590-3322,15.1,18.1,Q1,,,,,,,,
Lancet Rheumatology,LANCET RHEUMATOL,2665-9913,2665-9913,15,14.7,Q1,,,,,,,,
Annual Review of Entomology,ANNU REV ENTOMOL,0066-4170,1545-4487,15,21.6,Q1,,,,,,,,
eTransportation,ETRANSPORTATION,2590-1168,2590-1168,15,17.4,Q1,,,,,,,,
Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,1610-3661,15,15.1,Q1,,,,,,,,
Molecular Neurodegeneration,MOL NEURODEGENER,N/A,1750-1326,14.9,16.7,Q1,,,,,,,,
JAMA Cardiology,JAMA CARDIOL,2380-6583,2380-6591,14.8,16,Q1,,,,,,,,
KIDNEY INTERNATIONAL,KIDNEY INT,0085-2538,1523-1755,14.8,13.3,Q1,,,,,,,,
DIABETES CARE,DIABETES CARE,0149-5992,1935-5548,14.8,14.1,Q1,,,,,,,,
HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,1355-4786,1460-2369,14.8,17.2,Q1,,,,,,,,
Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,1540-1405,1540-1413,14.8,12.3,Q1,,,,,,,,
Energy Material Advances,ENERGY MATER ADV,2097-1133,2692-7640,14.8,14.9,Q1,,,,,,,,
Neuron,NEURON,0896-6273,1097-4199,14.7,16.9,Q1,,,,,,,,
Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,2211-3835,2211-3843,14.7,14.1,Q1,,,,,,,,
Information Fusion,INFORM FUSION,1566-2535,1872-6305,14.7,16.1,Q1,,,,,,,,
Nature Communications,NAT COMMUN,N/A,2041-1723,14.7,16.1,Q1,,,,,,,,
TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,0166-2236,1878-108X,14.6,15,Q1,,,,,,,,
Autophagy,AUTOPHAGY,1554-8627,1554-8635,14.6,16.8,Q1,,,,,,,,
Molecular Cell,MOL CELL,1097-2765,1097-4164,14.5,16.6,Q1,,,,,,,,
